P1_DEPARTAMENTO,No,Si
5,21.301620491374802,78.6983795086252
8,12.206216830932524,87.79378316906747
11,8.875314408911247,91.12468559108875
13,19.504748982360923,80.49525101763908
15,8.591504311721494,91.4084956882785
17,12.479740680713128,87.52025931928688
18,37.1838429596074,62.8161570403926
19,13.349024882313381,86.65097511768661
20,17.985611510791365,82.01438848920863
23,27.586206896551722,72.41379310344827
25,6.85878962536023,93.14121037463977
27,54.59392945036915,45.40607054963085
41,9.346139637975618,90.65386036202439
44,51.29989015012816,48.70010984987184
47,15.164520743919885,84.83547925608012
50,33.88517083480099,66.11482916519901
52,21.341250436604962,78.65874956339503
54,27.97716150081566,72.02283849918433
63,6.931407942238267,93.06859205776173
66,18.19494584837545,81.80505415162455
68,15.227422544495713,84.77257745550429
70,16.043613707165107,83.95638629283489
73,16.350067842605156,83.64993215739484
76,7.608695652173914,92.3913043478261
81,35.38034865293185,64.61965134706814
85,26.86369651521835,73.13630348478165
86,39.55637707948244,60.44362292051756
88,58.13725490196079,41.86274509803922
91,51.105157401205624,48.894842598794376
94,69.68115942028984,30.318840579710145
95,47.91666666666667,52.083333333333336
97,50.62326869806094,49.37673130193906
99,37.28886964053703,62.71113035946298
All,24.670411016849574,75.32958898315042
